,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_rank,entry_last_rank,entry_can_leave,entry_can_admin,entry_can_invite
0,11,Liverpool,team-11,2020-08-15T09:00:47.011825Z,False,,,s,c,,1,273217,351797,False,False,False
1,215,Slovenia,region-195,2020-08-15T09:00:50.577411Z,False,,,s,c,,1,2108,2576,False,False,False
2,276,Gameweek 1,event-1,2020-08-15T09:00:52.298412Z,False,,,s,c,,1,2166800,2684237,False,False,False
3,314,Overall,overall,2020-08-15T09:00:54.021038Z,False,,,s,c,,1,2201053,2742342,False,False,False
4,2119,Odprto Prvenstvo Slavca Malgaja,,2020-08-15T10:04:36.664734Z,False,,,x,c,9007.0,1,33,37,True,False,False
5,9555,Tolkec Liga,,2020-08-15T11:01:07.825131Z,False,,,x,c,48075.0,1,23,28,True,False,False
6,10552,Nogometni navdušenci,,2020-08-15T11:06:55.746116Z,False,,,x,c,53263.0,1,62,71,True,False,False
7,10558,Liverpool FC Slovenia,,2020-08-15T11:06:57.075545Z,False,,,x,c,53263.0,1,33,37,True,False,False
8,10567,OLSC Liverpool supporters SLO,,2020-08-15T11:06:59.987039Z,False,,,x,c,53263.0,1,25,27,True,False,False
9,35955,Fantasy Premier League Show,,2020-08-15T14:23:52.622407Z,False,,,x,c,175415.0,1,28186,32449,True,False,False
10,129628,Fuzbal za kašeljsko,,2020-08-17T10:47:18.451469Z,False,,,x,c,438577.0,1,6,5,True,False,False
11,203646,Ballers Glory league,,2020-08-19T20:36:42.973605Z,False,,,x,c,704800.0,1,371,428,True,False,False
12,217187,Morje,,2020-08-20T10:35:47.452118Z,False,,,x,c,1025697.0,1,2,1,False,True,True
13,420974,Premier League Slovenija,,2020-08-28T21:19:22.973574Z,False,,,x,c,142485.0,1,202,240,True,False,False
14,482953,Sport TV League,,2020-08-31T18:06:05.703863Z,False,,,x,c,2207058.0,1,25,25,True,False,False
15,746814,PL 2019/20,,2020-09-08T07:38:37.027345Z,False,,,x,c,3327253.0,1,7,9,True,False,False
